Name,Emotion
The Weeknd & Ariana Grande - Save Your Tears (Remix) (Official Video).wav,1
Doja Cat - Kiss Me More (Official Video) ft. SZA.wav,1
Saweetie - Fast (Motion) [Official Music Video].wav,1
SG워너비 (SG WANNABE) - Timeless MV.wav,0
SG WANNA BE (SG워너비) - 라라라 (Ver.2) MV.wav,0
폴킴 (Paul Kim) - 모든 날  모든 순간 (Every Day  Every Moment) [Lyric Video].wav,0
AKMU - '어떻게 이별까지 사랑하겠어  널 사랑하는 거지(How can I love the heartbreak  you`re the one I love)' M_V.wav,0
[MV] HIGH4  IU(하이포  아이유) _ Not Spring  Love  or Cherry Blossoms(봄 사랑 벚꽃 말고).wav,0
Maroon 5 - Memories (Lyric Video).wav,0
마크툽 (MAKTUB) - 오늘도 빛나는 너에게(To You My Light)(Feat.이라온) Lyrics Video.wav,0
[MV] Paul Kim(폴킴) _ Me After You(너를 만나).wav,0
[멜로가 체질 OST Part 3] 장범준 (Beom June Jang) - 흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야 MV.wav,0
폴킴 (Paul Kim) - 안녕 [Lyric Video].wav,0
[MV] Gaho - Start Over [ITAEWON CLASS OST Part.2].wav,0
IU (아이유) - I Give You My Heart 마음을 드려요 (Crash Landing on You OST Part 11) Lyrics (Han_Rom_Eng_가사).wav,0
Lauv - Paris in the Rain [Official Video].wav,0
Lim Young Woong Direct Cam LIVE [Trust In Me Now].wav,0
[MV] GyeongseoYeji(경서예지) _ Actually.. I miss you(사실 나는).wav,0
순순희 SoonSoonHee - 서면역에서 seomyun Official M_V.wav,0
[MV] Jeon Sang Keun(전상근) _ Love is(사랑은 지날수록 더욱 선명하게 남아).wav,0
BLOO - Downtown Baby [Official Music Video].wav,0
[MV] Sin Ye Young(신예영) _ why break up(우리 왜 헤어져야 해).wav,0
[MV] Noel(노을) _ Late Night(늦은 밤 너의 집 앞 골목길에서).wav,0
[MV] BAEK Z YOUNG(백지영) _ I still love you a lot(거짓말이라도 해서 널 보고싶어).wav,0
산들 - 취기를 빌려 (취향저격 그녀 X 산들) Live Clip Full ver..wav,0
Standing EGG - 오래된 노래.wav,0
규현 - 내 마음이 움찔했던 순간 (취향저격 그녀 X 규현) 녹음실 Live Full ver..wav,0
【임창정 M_V】 16집 타이틀 '힘든 건 사랑이 아니다' (캘리 ver.1) Official _ IM CHANG JUNG _ 16th ALBUM _ Music Video.wav,0
적재 - 나랑 같이 걸을래 (바른연애 길잡이 X 적재) 가로라이브 Full ver..wav,0
LEE HI - HOLO Official Music Video (ENG).wav,0
[MV] KyoungSeo(경서) _ Shiny Star(밤하늘의 별을)(2020).wav,0
[MV] Lee Yejoon(이예준) _ On That Day(그날에 나는 맘이 편했을까).wav,0
벤 BEN - 혼술하고 싶은 밤 Lonely night Official M_V.wav,0
잠이 오질 않네요 - 장범준.wav,0
[MV] Huh Gak(허각) _ How did we(우린 어쩌다 헤어진 걸까).wav,0
[슬기로운 의사생활 OST Part 3] 조정석 (CHO JUNG SEOK) - 아로하 (Aloha) MV.wav,0
10CM - 이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM) 가로라이브 Full ver..wav,0
[리본 프로젝트 vol.2] 술 한잔 해요 - MJ (써니사이드) & 경서 (경서예지).wav,0
[MV] Jung Dong Ha(정동하) _ I Still Love You(추억은 만남보다 이별에 남아).wav,0
허각 - 고백 (바른연애 길잡이 X 허각) 가로라이브 Full ver..wav,0
Again (Prod.V.O.S) (다시 만날까 봐).wav,0
윤하 (YOUNHA) - 서른 밤째 (바른연애 길잡이 X 윤하 (YOUNHA)) 세로라이브 Full ver..wav,0
Etham - 12_45 (Stripped _ Lyric Video).wav,0
[MV] OVAN(오반) _ I Need You(어떻게 지내).wav,0
[MV] Song I Han(송이한) _ I will be your shining star(밝게 빛나는 별이 되어 비춰줄게).wav,0
양요섭  정은지 - LOVE DAY (2021) (바른연애 길잡이 X 양요섭  정은지) 가로라이브 Full ver..wav,0
[IU] 'Love poem' Live Clip.wav,0
[오듣드] 임창정 - 되풀이(펜트하우스2 OST Part.1) #임창정 #SBSCatch.wav,0
이소정(SOJUNG) - 함께 했는데 이별은 나 혼자인 거야(If You Were Still Here) LIVE.wav,0
안녕 - 너의 번호를 누르고 (Prod. 영화처럼) [가사].wav,0
Hi spring Bye (봄 안녕 봄).wav,0
이렇게 좋아해 본 적이 없어요.wav,0
Dear you (Romance 101 X LeeHi) (그 한마디 (바른연애 길잡이 X 이하이)).wav,0
My sea (아이와 나의 바다).wav,0
Empty Cup (빈 컵 (Empty Cup)).wav,0
[MV] HWANG CHI YEUL(황치열) _ Two Letters(안녕이란).wav,0
[IU] '내 손을 잡아(Hold My Hand)' Live Clip (2019 IU Tour Concert 'Love  poem').wav,0
Olivia Rodrigo - drivers license (Official Video).wav,0
ROSÉ - 'Gone' M_V.wav,0
Lil Nas X - MONTERO (Call Me By Your Name) [Official Video except its not the official video at all].wav,0
다비치 (DAVICHI) - 그냥 안아달란 말야 (Just hug me) MV.wav,0
[MV] IU(아이유)_Epilogue(에필로그).wav,0
조이 (JOY) - 왜 사랑은 언제나 쉽지 않을까 (바른연애 길잡이 X 조이 (JOY)) 세로라이브 Full ver..wav,0
Bebe Rexha - Sabotage [Official Music Video].wav,0
[놀면 뭐하니 후공개] SG 워너비 - '내 사람' 풀영상.wav,0
Siren Remix (Feat. UNEDUCATED KID  Paul Blanco) (사이렌 Remix (Feat. UNEDUCATED KID  Paul....wav,0
Madeline The Person - I Talk to the Sky (Official Music Video).wav,0
Olivia Rodrigo - deja vu (Official Video).wav,0
